name,name:en
恒南路联航路,Hengnan Road Lianhang Road
浦连路三鲁公路,Pulian Road Sanlu Highway
三鲁公路浦连路 (建岗),Sanlu Highway Pulian Road (Jiangang)
联航路召楼路,Lianhang Road Zhaolou Road
召楼路闵瑞路,Zhaolou Road Minrui Road
塘口,Tangkou
浦锦路江汉路,Pujin Road Jianghan Road
杜行,Duhang
鲁陈路亭子路,Luchen Road Tingzi Road
沈杜公路鲁陈路,Shendu Highway Luchen Road
浦江高级中学,Pujiang Advanced Middle School
浦秀路江燕路,Puxiu Road Jiangyan Road
立跃路勤劳路,Liyue Road Qinlao Road
浦锦路立跃路,Pujin Road Liyue Road
江园路浦秀路,Jiangyuan Road Puxiu Road
立跃路新骏北路,Liyue Road North Xinjun Road
浦秀路江月路,Puxiu Road Jiangyue Road
苏召路立建路,Suzhao Road Lijian Road
立跃路恒西路,Liyue Road Hengxi Road
立跃路三鲁公路,Liyue Road Sanlu Highway
立跃路苏召路,Liyue Road Suzhao Road
江月路地铁站,Jiangyue Road Metro Station
联行路丰收路,Lianhang Road Fengshou Road
江园路浦驰路,Jiangyuan Road Puchi Road
江园路浦申路,Jiangyuan Road Pushen Road
江园路浦锦路,Jiangyuan Road Pujin Road
丰收路沈杜公路,Fengshou Road Shendu Highway
浦晓南路江燕路,South Puxiao Road Jiangyan Road
丰收村八组,Fengshoucun Bazu
浦晓南路江月路,South Puxiao Road Jiangyue Road
鲁陈路张行路,Luchen Road Zhanghang Road
联华超市 施新店,Lianhua
六灶,Liuzao
祝桥,Zhuqiao
复美大药房,For Me Pharmacy
中国邮政储蓄银行,PSBC
黄渡邮政支局,Huangdu Post Office
安亭镇社区事务受理中心 (黄渡分中心),Anting Community Affairs Receiving Office (Huangdu Branch)
海关仓库,Customs Warehouse
英特尔亚太研发有限公司,Intel Asia & Pacific Research and Development
百年校庆纪念碑,Jiaotong University
四川北路,North Sichuan Road
天潼路,Tiantong Road
新沈家门海鲜城,Xinshenjiamen Seafood City
市光路世界路,Shiguang Road Shijie Road
中原路开鲁路,Zhongyuan Road Kailu Road
世界路新江湾城,Shijie Road New Jiangwan Town
中原路殷行路,Zhongyuan Road Yinhang Road
长兴岛/橫沙岛,Changxing Island/Hengsha Island
潘园公路收费站,Panyuan Highway Toll Booth
